index,Mkt-RF,SMB,HML,RF
199111,-4.19,-0.48,-1.91,0.39
199112,10.83,-2.24,-4.04,0.38
199201,-0.59,8.45,4.5,0.34
199202,1.09,0.88,6.36,0.28
199203,-2.65,-1.03,3.66,0.34
199204,1.08,-6.12,4.28,0.32
199205,0.3,0.4,1.27,0.28
199206,-2.34,-3.09,3.41,0.32
199207,3.77,-0.44,-0.53,0.31
199208,-2.38,-0.11,-1.04,0.26
199209,1.19,0.56,-0.21,0.26
199210,1.02,2.04,-2.1,0.23
199211,4.13,3.69,-1.48,0.23
199212,1.53,1.65,2.51,0.28
199301,0.93,2.05,5.89,0.23
199302,0.13,-3.44,6.42,0.22
199303,2.3,0.24,1.24,0.25
199304,-3.05,-0.69,2.61,0.24
199305,2.88,1.96,-3.42,0.22
199306,0.31,-0.3,2.61,0.25
199307,-0.34,0.94,3.24,0.24
199308,3.72,0.31,-0.44,0.25
199309,-0.12,3.13,-0.45,0.26
199310,1.41,1.45,-1.55,0.22
199311,-1.89,-1.43,-0.26,0.25
199312,1.65,1.22,0.57,0.23
199401,2.87,0.13,2.09,0.25
199402,-2.56,2.72,-1.43,0.21
199403,-4.78,-0.97,1.31,0.27
199404,0.68,-0.92,1.66,0.27
199405,0.58,-2.01,0.18,0.31
199406,-3.03,-0.47,1.68,0.31
199407,2.82,-1.77,0.99,0.28
199408,4.01,1.44,-3.45,0.37
199409,-2.31,2.68,-1.78,0.37
199410,1.34,-2.2,-2.36,0.38
199411,-4.04,-0.16,-0.04,0.37
199412,0.86,0.05,0.28,0.44
199501,1.8,-2.95,1.66,0.42
199502,3.63,-0.33,0.39,0.4
199503,2.18,-0.37,-2.04,0.46
199504,2.11,-0.41,1.73,0.44
199505,2.9,-2.25,1.91,0.54
199506,2.72,3.06,-2.97,0.47
199507,3.72,2.23,-2.24,0.45
199508,0.55,1.86,1.96,0.47
199509,3.35,-2.06,-0.93,0.43
199510,-1.52,-3.94,-0.06,0.47
199511,3.95,-0.84,0.32,0.42
199512,1.03,0.37,1.4,0.49
199601,2.26,-2.49,0.39,0.43
199602,1.33,2.05,-2.32,0.39
199603,0.73,1.31,1.27,0.39
199604,2.06,4.84,-4.06,0.46
199605,2.36,3.16,-1.39,0.42
199606,-1.14,-3.64,1.92,0.4
199607,-5.97,-3.59,4.36,0.45
199608,2.76,2.31,-0.58,0.41
199609,5.02,-0.79,-3.75,0.44
199610,0.86,-4.11,4.79,0.42
199611,6.25,-3.6,0.15,0.41
199612,-1.7,3.08,1.01,0.46
199701,4.99,-1.53,-2.36,0.45
199702,-0.49,-2.61,4.67,0.39
199703,-5.03,-0.33,3.85,0.43
199704,4.04,-5.2,-1.03,0.43
